Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,94.5,94.99,93.82,93.82,91.87,8305500
2018-10-16,94.7,96.07,94.34,95.81,93.82,11241700
2018-10-17,95.18,96.62,94.9,96.56,94.55,9539400
2018-10-18,96.4,97.25,95.74,96.17,94.17,11398400
2018-10-19,96.0,97.65,96.0,97.15,95.13,8950700
2018-10-22,97.34,97.58,96.74,97.14,95.12,7122900
2018-10-23,96.5,97.99,96.11,97.8,95.77,9405800
2018-10-24,97.5,99.17,97.28,97.56,95.53,10364700
2018-10-25,98.01,99.48,97.0,99.18,97.12,10737100
2018-10-26,98.81,99.67,98.02,98.94,96.88,14925600
2018-10-29,99.51,101.73,99.09,99.8,97.72,12706100
2018-10-30,100.21,102.6,100.06,102.42,100.29,12708500
2018-10-31,102.49,102.49,100.12,100.28,98.19,12354900
2018-11-01,99.96,101.17,99.72,100.58,98.49,7735100
2018-11-02,100.88,101.57,100.31,101.34,99.23,7303200
2018-11-05,101.19,103.17,100.63,102.91,100.77,7616800
2018-11-06,102.54,103.44,102.05,103.33,101.18,6368700
2018-11-07,103.66,104.47,103.05,104.32,102.15,8672600
2018-11-08,104.33,105.26,104.03,104.88,102.7,5961400
2018-11-09,105.0,105.9,104.81,105.56,103.36,8450400
2018-11-12,105.5,106.21,103.65,103.87,101.71,8943100
2018-11-13,103.67,104.15,102.54,102.94,100.8,7956700
2018-11-14,103.0,103.15,101.01,101.53,99.42,10481900
2018-11-15,102.32,102.8,98.62,99.54,97.47,16082600
2018-11-16,98.82,99.42,96.92,97.69,95.66,14235200
2018-11-19,97.94,98.25,96.43,96.78,94.77,9214400
2018-11-20,94.98,95.2,93.6,94.16,92.2,12620600
2018-11-21,94.36,94.92,93.31,94.17,92.21,9350900
2018-11-23,94.13,95.55,94.13,95.1,93.12,4890000
2018-11-26,95.69,96.07,94.74,95.15,93.17,10034600
2018-11-27,94.99,95.54,94.41,95.04,93.06,9042300
2018-11-28,95.45,97.62,95.05,97.46,95.43,10070800
2018-11-29,97.02,97.83,96.74,97.29,95.27,6241300
2018-11-30,97.4,98.43,97.07,97.65,95.62,10664000
2018-12-03,98.02,99.59,97.67,98.75,96.7,9082100
2018-12-04,98.25,98.96,95.61,95.81,93.82,10426300
2018-12-06,94.94,95.41,93.1,94.77,93.31,10367200
